MovementID,ItemID,WarehouseID,MovementType,Quantity,MovementDate,ProcessedBy,Reference,Notes
MV01804,ITM0036,WH002,IN,20,2024-03-29,USER002,REF-1804,
MV02214,ITM0092,WH003,OUT,-9,2024-03-29,USER002,REF-2214,
MV02438,ITM0071,WH001,ADJUSTMENT,-77,2024-03-29,USER001,ADJ-2438,Lost
MV02509,ITM0067,WH002,IN,12,2024-03-29,USER006,REF-2509,
MV02523,ITM0068,WH001,OUT,-269,2024-03-29,USER008,REF-2523,
MV02558,ITM0089,WH004,ADJUSTMENT,-67,2024-03-29,USER002,ADJ-2558,Recount
MV00385,ITM0014,WH004,IN,20,2024-03-30,USER002,REF-385,
MV00508,ITM0011,WH004,ADJUSTMENT,-70,2024-03-30,USER005,ADJ-508,Expired
MV00593,ITM0098,WH001,IN,10,2024-03-30,USER005,REF-593,
MV01066,ITM0029,WH003,ADJUSTMENT,-1,2024-03-30,USER004,ADJ-1066,Lost
MV01264,ITM0041,WH005,ADJUSTMENT,-35,2024-03-30,USER008,ADJ-1264,Found
MV01333,ITM0008,WH003,ADJUSTMENT,-87,2024-03-30,USER004,ADJ-1333,Found
MV01844,ITM0024,WH003,ADJUSTMENT,-90,2024-03-30,USER004,ADJ-1844,Recount
MV01947,ITM0024,WH003,IN,65,2024-03-30,USER002,REF-1947,
MV02133,ITM0061,WH002,OUT,-76,2024-03-30,USER007,REF-2133,
MV02219,ITM0025,WH003,ADJUSTMENT,-40,2024-03-30,USER006,ADJ-2219,Recount
MV02282,ITM0028,WH001,ADJUSTMENT,-34,2024-03-30,USER001,ADJ-2282,Expired
MV02614,ITM0043,WH004,IN,63,2024-03-30,USER006,REF-2614,
MV02695,ITM0092,WH003,OUT,-93,2024-03-30,USER001,REF-2695,
MV00702,ITM0053,WH005,ADJUSTMENT,-32,2024-03-31,USER001,ADJ-702,Lost
MV00721,ITM0001,WH002,IN,22,2024-03-31,USER002,REF-721,
MV00724,ITM0100,WH003,OUT,-78,2024-03-31,USER005,REF-724,
MV00988,ITM0002,WH004,IN,5,2024-03-31,USER003,REF-988,
MV02358,ITM0023,WH004,ADJUSTMENT,-50,2024-03-31,USER005,ADJ-2358,Recount
MV02876,ITM0004,WH001,IN,80,2024-03-31,USER007,REF-2876,
MV00186,ITM0081,WH002,ADJUSTMENT,-68,2024-04-01,USER003,ADJ-186,Found
MV00266,ITM0017,WH001,ADJUSTMENT,-566,2024-04-01,USER008,ADJ-266,Expired
MV00662,ITM0003,WH001,OUT,-35,2024-04-01,USER005,REF-662,
MV00671,ITM0069,WH005,ADJUSTMENT,-63,2024-04-01,USER006,ADJ-671,Damage
MV00738,ITM0013,WH003,OUT,-10,2024-04-01,USER005,REF-738,
MV00919,ITM0020,WH005,ADJUSTMENT,-13,2024-04-01,USER008,ADJ-919,Recount
MV01179,ITM0077,WH003,OUT,-38,2024-04-01,USER006,REF-1179,
MV01861,ITM0050,WH005,OUT,-88,2024-04-01,USER004,REF-1861,
MV01960,ITM0050,WH005,OUT,-36,2024-04-01,USER005,REF-1960,
MV02919,ITM0051,WH004,IN,18,2024-04-01,USER005,REF-2919,
MV00396,ITM0050,WH005,IN,41,2024-04-02,USER003,REF-396,
MV01662,ITM0022,WH005,OUT,-54,2024-04-02,USER006,REF-1662,
MV02440,ITM0026,WH005,ADJUSTMENT,-641,2024-04-02,USER005,ADJ-2440,Lost
MV00107,ITM0092,WH002,IN,353,2024-04-03,USER002,REF-107,
MV00309,ITM0054,WH004,IN,24,2024-04-03,USER003,REF-309,
MV00317,ITM0073,WH005,IN,27,2024-04-03,USER005,REF-317,
MV00621,ITM0082,WH003,ADJUSTMENT,-46,2024-04-03,USER002,ADJ-621,Damage
MV00754,ITM0055,WH002,OUT,-27,2024-04-03,USER008,REF-754,
MV01190,ITM0028,WH003,OUT,-83,2024-04-03,USER005,REF-1190,
MV01320,ITM0094,WH001,ADJUSTMENT,-17,2024-04-03,USER007,ADJ-1320,Found
MV02953,ITM0087,WH002,IN,23,2024-04-03,USER006,REF-2953,
MV02963,ITM0038,WH003,ADJUSTMENT,-72,2024-04-03,USER008,ADJ-2963,Found
MV02981,ITM0055,WH004,OUT,-69,2024-04-03,USER003,REF-2981,
MV00001,ITM0098,WH002,ADJUSTMENT,-11,2024-04-04,USER005,ADJ-1,Recount
MV00105,ITM0046,WH001,ADJUSTMENT,-19,2024-04-04,USER008,ADJ-105,Found
MV00302,ITM0080,WH002,IN,64,2024-04-04,USER007,REF-302,
MV00348,ITM0026,WH002,OUT,-96,2024-04-04,USER003,REF-348,
MV00668,ITM0003,WH004,OUT,-100,2024-04-04,USER008,REF-668,
MV00832,ITM0045,WH005,OUT,-68,2024-04-04,USER007,REF-832,
MV00981,ITM0082,WH001,IN,86,2024-04-04,USER001,REF-981,
MV01569,ITM0094,WH001,IN,50,2024-04-04,USER006,REF-1569,
MV01785,ITM0019,WH001,OUT,-10,2024-04-04,USER007,REF-1785,
MV02421,ITM0041,WH002,ADJUSTMENT,-34,2024-04-04,USER002,ADJ-2421,Lost
MV02654,ITM0084,WH003,IN,28,2024-04-04,USER005,REF-2654,
MV02732,ITM0017,WH005,IN,89,2024-04-04,USER007,REF-2732,
MV02782,ITM0024,WH001,ADJUSTMENT,-98,2024-04-04,USER007,ADJ-2782,Found
MV02855,ITM0015,WH004,OUT,-82,2024-04-04,USER005,REF-2855,
MV01299,ITM0065,WH001,OUT,-46,2024-04-05,USER006,REF-1299,
MV01527,ITM0073,WH002,IN,64,2024-04-05,USER008,REF-1527,
MV01531,ITM0087,WH005,IN,92,2024-04-05,USER005,REF-1531,
MV01584,ITM0084,WH001,ADJUSTMENT,-44,2024-04-05,USER001,ADJ-1584,Damage
MV02150,ITM0079,WH003,OUT,-74,2024-04-05,USER006,REF-2150,
MV02165,ITM0045,WH001,IN,30,2024-04-05,USER002,REF-2165,
MV02639,ITM0017,WH002,IN,18,2024-04-05,USER004,REF-2639,
MV00421,ITM0028,WH003,IN,89,2024-04-06,USER001,REF-421,
MV00626,ITM0048,WH001,ADJUSTMENT,-59,2024-04-06,USER001,ADJ-626,Expired
MV00658,ITM0045,WH001,IN,36,2024-04-06,USER008,REF-658,
MV00681,ITM0055,WH005,ADJUSTMENT,-81,2024-04-06,USER007,ADJ-681,Recount
MV01203,ITM0033,WH001,IN,88,2024-04-06,USER006,REF-1203,
MV01274,ITM0005,WH004,ADJUSTMENT,-90,2024-04-06,USER005,ADJ-1274,Lost
MV01302,ITM0081,WH003,IN,91,2024-04-06,USER008,REF-1302,
MV01327,ITM0078,WH004,OUT,-71,2024-04-06,USER002,REF-1327,
MV01365,ITM0037,WH002,ADJUSTMENT,-80,2024-04-06,USER005,ADJ-1365,Expired
MV02531,ITM0090,WH004,ADJUSTMENT,-14,2024-04-06,USER003,ADJ-2531,Damage
MV02972,ITM0078,WH005,ADJUSTMENT,-68,2024-04-06,USER001,ADJ-2972,Recount
MV00200,ITM0039,WH003,ADJUSTMENT,-59,2024-04-07,USER007,ADJ-200,Damage
MV00329,ITM0071,WH001,ADJUSTMENT,-63,2024-04-07,USER003,ADJ-329,Found
MV00347,ITM0051,WH001,IN,56,2024-04-07,USER006,REF-347,
MV00677,ITM0056,WH001,ADJUSTMENT,-98,2024-04-07,USER003,ADJ-677,Expired
MV00940,ITM0008,WH003,IN,90,2024-04-07,USER001,REF-940,
MV01228,ITM0087,WH004,OUT,-79,2024-04-07,USER004,REF-1228,
MV01474,ITM0087,WH001,OUT,-69,2024-04-07,USER005,REF-1474,
MV01568,ITM0013,WH001,OUT,-25,2024-04-07,USER007,REF-1568,
MV01912,ITM0068,WH001,ADJUSTMENT,-34,2024-04-07,USER008,ADJ-1912,Recount
MV02021,ITM0085,WH002,IN,51,2024-04-07,USER005,REF-2021,
MV02099,ITM0017,WH001,OUT,-95,2024-04-07,USER005,REF-2099,
MV02398,ITM0074,WH002,OUT,-61,2024-04-07,USER007,REF-2398,
MV02609,ITM0040,WH003,OUT,-59,2024-04-07,USER006,REF-2609,
MV02781,ITM0083,WH005,IN,77,2024-04-07,USER005,REF-2781,
MV02908,ITM0046,WH002,ADJUSTMENT,-54,2024-04-07,USER003,ADJ-2908,Found
MV00019,ITM0036,WH005,OUT,-16,2024-04-08,USER006,REF-19,
MV00457,ITM0001,WH004,OUT,-94,2024-04-08,USER004,REF-457,
MV00549,ITM0096,WH001,OUT,-57,2024-04-08,USER007,REF-549,
MV00740,ITM0098,WH005,OUT,-72,2024-04-08,USER002,REF-740,
MV01880,ITM0077,WH004,ADJUSTMENT,-71,2024-04-08,USER005,ADJ-1880,Recount
MV01950,ITM0041,WH003,OUT,-13,2024-04-08,USER006,REF-1950,
MV02889,ITM0003,WH005,ADJUSTMENT,-53,2024-04-08,USER001,ADJ-2889,Found
MV00289,ITM0002,WH004,IN,96,2024-04-09,USER005,REF-289,
MV00492,ITM0045,WH001,OUT,-44,2024-04-09,USER006,REF-492,
MV00500,ITM0092,WH003,IN,78,2024-04-09,USER007,REF-500,
MV01366,ITM0059,WH003,IN,80,2024-04-09,USER005,REF-1366,
MV01824,ITM0016,WH004,IN,100,2024-04-09,USER002,REF-1824,
MV01855,ITM0018,WH004,IN,70,2024-04-09,USER004,REF-1855,
MV02752,ITM0031,WH002,IN,48,2024-04-09,USER001,REF-2752,
MV02843,ITM0048,WH004,IN,59,2024-04-09,USER004,REF-2843,
MV02865,ITM0097,WH003,ADJUSTMENT,-58,2024-04-09,USER008,ADJ-2865,Lost
MV00134,ITM0022,WH003,ADJUSTMENT,-19,2024-04-10,USER004,ADJ-134,Recount
MV00613,ITM0076,WH003,OUT,-30,2024-04-10,USER004,REF-613,
MV00933,ITM0071,WH002,OUT,-73,2024-04-10,USER007,REF-933,
MV01175,ITM0031,WH005,ADJUSTMENT,-85,2024-04-10,USER006,ADJ-1175,Expired
MV01298,ITM0035,WH005,IN,82,2024-04-10,USER001,REF-1298,
MV01575,ITM0067,WH001,OUT,-59,2024-04-10,USER004,REF-1575,
MV01588,ITM0027,WH005,ADJUSTMENT,-25,2024-04-10,USER006,ADJ-1588,Found
MV01868,ITM0018,WH003,OUT,-40,2024-04-10,USER008,REF-1868,
MV01965,ITM0087,WH005,IN,65,2024-04-10,USER004,REF-1965,
MV02238,ITM0068,WH005,OUT,-60,2024-04-10,USER004,REF-2238,
MV02715,ITM0013,WH004,IN,2,2024-04-10,USER008,REF-2715,
MV02905,ITM0002,WH002,IN,76,2024-04-10,USER005,REF-2905,
MV00963,ITM0033,WH005,ADJUSTMENT,-82,2024-04-11,USER004,ADJ-963,Found
MV01387,ITM0050,WH005,ADJUSTMENT,-91,2024-04-11,USER008,ADJ-1387,Damage
MV01551,ITM0071,WH001,IN,39,2024-04-11,USER004,REF-1551,
MV01939,ITM0064,WH002,IN,7,2024-04-11,USER002,REF-1939,
MV02071,ITM0016,WH001,ADJUSTMENT,-51,2024-04-11,USER008,ADJ-2071,Damage
MV02454,ITM0036,WH005,IN,62,2024-04-11,USER007,REF-2454,
MV00210,ITM0019,WH005,ADJUSTMENT,-53,2024-04-12,USER008,ADJ-210,Damage
MV00498,ITM0070,WH004,ADJUSTMENT,-299,2024-04-12,USER001,ADJ-498,Recount
MV00628,ITM0080,WH004,OUT,-53,2024-04-12,USER003,REF-628,
MV01139,ITM0024,WH005,OUT,-10,2024-04-12,USER002,REF-1139,
MV01211,ITM0070,WH002,ADJUSTMENT,-48,2024-04-12,USER007,ADJ-1211,Recount
MV01771,ITM0035,WH003,ADJUSTMENT,-80,2024-04-12,USER002,ADJ-1771,Lost
MV01872,ITM0065,WH005,OUT,-64,2024-04-12,USER001,REF-1872,
MV02731,ITM0046,WH002,ADJUSTMENT,-11,2024-04-12,USER002,ADJ-2731,Expired
MV02784,ITM0059,WH005,IN,61,2024-04-12,USER001,REF-2784,
MV00040,ITM0085,WH003,OUT,-13,2024-04-13,USER002,REF-40,
MV00226,ITM0091,WH005,ADJUSTMENT,-99,2024-04-13,USER001,ADJ-226,Damage
MV00601,ITM0008,WH001,ADJUSTMENT,-43,2024-04-13,USER004,ADJ-601,Damage
MV00699,ITM0002,WH004,ADJUSTMENT,-38,2024-04-13,USER003,ADJ-699,Lost
MV00730,ITM0019,WH004,OUT,-67,2024-04-13,USER007,REF-730,
MV01004,ITM0084,WH002,ADJUSTMENT,-25,2024-04-13,USER005,ADJ-1004,Damage
MV01647,ITM0012,WH004,OUT,-27,2024-04-13,USER006,REF-1647,
MV02241,ITM0012,WH004,ADJUSTMENT,-75,2024-04-13,USER002,ADJ-2241,Expired
MV02890,ITM0034,WH004,ADJUSTMENT,-22,2024-04-13,USER004,ADJ-2890,Expired
MV00607,ITM0090,WH005,ADJUSTMENT,-36,2024-04-14,USER007,ADJ-607,Found
MV00749,ITM0019,WH004,IN,39,2024-04-14,USER008,REF-749,
MV00764,ITM0068,WH001,ADJUSTMENT,-47,2024-04-14,USER003,ADJ-764,Expired
MV01106,ITM0037,WH003,ADJUSTMENT,-44,2024-04-14,USER002,ADJ-1106,Damage
MV01495,ITM0028,WH003,IN,15,2024-04-14,USER004,REF-1495,
MV01975,ITM0083,WH003,ADJUSTMENT,-47,2024-04-14,USER002,ADJ-1975,Found
MV00847,ITM0100,WH003,ADJUSTMENT,-46,2024-04-15,USER004,ADJ-847,Damage
MV02018,ITM0057,WH002,IN,62,2024-04-15,USER008,REF-2018,
MV02342,ITM0082,WH005,OUT,-62,2024-04-15,USER006,REF-2342,
MV02422,ITM0027,WH005,ADJUSTMENT,-76,2024-04-15,USER005,ADJ-2422,Damage
MV02694,ITM0042,WH001,IN,585,2024-04-15,USER005,REF-2694,
MV00086,ITM0052,WH005,OUT,-477,2024-04-16,USER003,REF-86,
MV00541,ITM0024,WH001,IN,77,2024-04-16,USER001,REF-541,
MV00888,ITM0019,WH001,ADJUSTMENT,-3,2024-04-16,USER008,ADJ-888,Recount
MV00945,ITM0084,WH001,IN,40,2024-04-16,USER006,REF-945,
MV01078,ITM0085,WH001,OUT,-5,2024-04-16,USER007,REF-1078,
MV01421,ITM0023,WH002,OUT,-70,2024-04-16,USER004,REF-1421,
MV01592,ITM0011,WH003,OUT,-64,2024-04-16,USER003,REF-1592,
MV02637,ITM0094,WH005,ADJUSTMENT,-59,2024-04-16,USER005,ADJ-2637,Recount
MV02745,ITM0037,WH005,IN,73,2024-04-16,USER005,REF-2745,
MV00017,ITM0080,WH002,ADJUSTMENT,-50,2024-04-17,USER004,ADJ-17,Expired
MV00762,ITM0046,WH004,ADJUSTMENT,-82,2024-04-17,USER006,ADJ-762,Expired
MV01176,ITM0077,WH002,ADJUSTMENT,-18,2024-04-17,USER005,ADJ-1176,Recount
MV01262,ITM0071,WH005,OUT,-63,2024-04-17,USER003,REF-1262,
MV01515,ITM0083,WH003,IN,67,2024-04-17,USER003,REF-1515,
MV01687,ITM0062,WH005,IN,48,2024-04-17,USER002,REF-1687,
MV01875,ITM0061,WH004,IN,61,2024-04-17,USER004,REF-1875,
MV02005,ITM0012,WH005,IN,556,2024-04-17,USER007,REF-2005,
MV02716,ITM0076,WH002,OUT,-54,2024-04-17,USER008,REF-2716,
MV02920,ITM0004,WH005,ADJUSTMENT,-18,2024-04-17,USER001,ADJ-2920,Found
MV00164,ITM0012,WH003,IN,47,2024-04-18,USER004,REF-164,
MV00611,ITM0001,WH005,OUT,-56,2024-04-18,USER005,REF-611,
MV00636,ITM0019,WH005,OUT,-87,2024-04-18,USER001,REF-636,
MV02278,ITM0005,WH002,IN,100,2024-04-18,USER001,REF-2278,
MV02668,ITM0076,WH005,ADJUSTMENT,-20,2024-04-18,USER001,ADJ-2668,Found
MV02869,ITM0008,WH003,ADJUSTMENT,-67,2024-04-18,USER001,ADJ-2869,Damage
MV02910,ITM0050,WH005,ADJUSTMENT,-27,2024-04-18,USER003,ADJ-2910,Recount
MV00010,ITM0066,WH001,IN,14,2024-04-19,USER008,REF-10,
MV00157,ITM0047,WH004,IN,41,2024-04-19,USER008,REF-157,
MV00772,ITM0038,WH004,OUT,-46,2024-04-19,USER001,REF-772,
MV01148,ITM0090,WH005,IN,85,2024-04-19,USER006,REF-1148,
MV01258,ITM0028,WH001,IN,51,2024-04-19,USER008,REF-1258,
MV02039,ITM0054,WH001,OUT,-5,2024-04-19,USER003,REF-2039,
MV02582,ITM0046,WH001,ADJUSTMENT,-21,2024-04-19,USER001,ADJ-2582,Found
MV00046,ITM0019,WH004,ADJUSTMENT,-16,2024-04-20,USER001,ADJ-46,Lost
MV00077,ITM0094,WH001,ADJUSTMENT,-558,2024-04-20,USER008,ADJ-77,Recount
MV00373,ITM0043,WH005,ADJUSTMENT,-54,2024-04-20,USER003,ADJ-373,Lost
MV00708,ITM0026,WH005,OUT,-7,2024-04-20,USER001,REF-708,
MV01419,ITM0080,WH002,IN,67,2024-04-20,USER001,REF-1419,
MV02077,ITM0014,WH004,OUT,-3,2024-04-20,USER006,REF-2077,
MV02162,ITM0050,WH003,ADJUSTMENT,-83,2024-04-20,USER007,ADJ-2162,Damage
MV02268,ITM0055,WH005,IN,469,2024-04-20,USER002,REF-2268,
MV02375,ITM0077,WH003,IN,72,2024-04-20,USER007,REF-2375,
MV02568,ITM0037,WH002,ADJUSTMENT,-45,2024-04-20,USER006,ADJ-2568,Recount
MV00846,ITM0093,WH001,IN,56,2024-04-21,USER007,REF-846,
MV01110,ITM0055,WH005,IN,11,2024-04-21,USER001,REF-1110,
MV01252,ITM0051,WH002,ADJUSTMENT,-44,2024-04-21,USER008,ADJ-1252,Damage
MV01336,ITM0076,WH004,OUT,-92,2024-04-21,USER007,REF-1336,
MV02001,ITM0003,WH004,ADJUSTMENT,-32,2024-04-21,USER004,ADJ-2001,Found
MV02341,ITM0035,WH003,OUT,-59,2024-04-21,USER005,REF-2341,
MV02632,ITM0041,WH001,OUT,-35,2024-04-21,USER008,REF-2632,
MV02740,ITM0016,WH004,IN,83,2024-04-21,USER004,REF-2740,
MV02868,ITM0079,WH005,OUT,-61,2024-04-21,USER003,REF-2868,
MV00125,ITM0048,WH002,OUT,-59,2024-04-22,USER005,REF-125,
MV00640,ITM0086,WH004,OUT,-10,2024-04-22,USER006,REF-640,
MV00962,ITM0008,WH003,ADJUSTMENT,-82,2024-04-22,USER001,ADJ-962,Expired
MV01270,ITM0006,WH005,IN,59,2024-04-22,USER004,REF-1270,
MV01287,ITM0069,WH004,IN,62,2024-04-22,USER003,REF-1287,
MV01294,ITM0003,WH002,IN,15,2024-04-22,USER006,REF-1294,
MV02993,ITM0085,WH004,ADJUSTMENT,-74,2024-04-22,USER003,ADJ-2993,Found
MV02996,ITM0078,WH005,IN,37,2024-04-22,USER006,REF-2996,
MV00332,ITM0001,WH003,IN,36,2024-04-23,USER005,REF-332,
MV00518,ITM0015,WH002,OUT,-50,2024-04-23,USER003,REF-518,
MV01640,ITM0018,WH005,ADJUSTMENT,-88,2024-04-23,USER002,ADJ-1640,Lost
MV01735,ITM0050,WH002,IN,24,2024-04-23,USER004,REF-1735,
MV01995,ITM0073,WH004,ADJUSTMENT,-22,2024-04-23,USER008,ADJ-1995,Recount
MV02025,ITM0020,WH001,ADJUSTMENT,-88,2024-04-23,USER004,ADJ-2025,Expired
MV02060,ITM0057,WH003,IN,92,2024-04-23,USER002,REF-2060,
MV02092,ITM0010,WH004,IN,76,2024-04-23,USER001,REF-2092,
MV02394,ITM0038,WH004,IN,48,2024-04-23,USER005,REF-2394,
MV02411,ITM0030,WH003,ADJUSTMENT,-15,2024-04-23,USER002,ADJ-2411,Recount
MV02712,ITM0019,WH005,ADJUSTMENT,-15,2024-04-23,USER003,ADJ-2712,Found
MV02837,ITM0030,WH005,IN,10,2024-04-23,USER008,REF-2837,
MV02941,ITM0004,WH003,OUT,-13,2024-04-23,USER001,REF-2941,
MV00166,ITM0041,WH003,OUT,-66,2024-04-24,USER003,REF-166,
MV00879,ITM0050,WH002,ADJUSTMENT,-403,2024-04-24,USER001,ADJ-879,Damage
MV01599,ITM0056,WH001,IN,12,2024-04-24,USER005,REF-1599,
MV02414,ITM0042,WH002,OUT,-95,2024-04-24,USER004,REF-2414,
MV00371,ITM0043,WH004,IN,80,2024-04-25,USER002,REF-371,
MV00552,ITM0018,WH002,IN,29,2024-04-25,USER001,REF-552,
MV00603,ITM0042,WH005,IN,24,2024-04-25,USER007,REF-603,
MV01206,ITM0053,WH002,IN,38,2024-04-25,USER001,REF-1206,
MV01303,ITM0046,WH001,ADJUSTMENT,-55,2024-04-25,USER001,ADJ-1303,Lost
MV01621,ITM0007,WH003,IN,53,2024-04-25,USER003,REF-1621,
MV01718,ITM0058,WH005,IN,18,2024-04-25,USER007,REF-1718,
MV01745,ITM0026,WH004,OUT,-44,2024-04-25,USER006,REF-1745,
MV02194,ITM0059,WH001,IN,89,2024-04-25,USER003,REF-2194,
MV02511,ITM0008,WH005,IN,35,2024-04-25,USER005,REF-2511,
MV02917,ITM0054,WH002,ADJUSTMENT,-58,2024-04-25,USER003,ADJ-2917,Expired
MV00586,ITM0018,WH004,IN,36,2024-04-26,USER007,REF-586,
MV01461,ITM0037,WH003,ADJUSTMENT,-100,2024-04-26,USER008,ADJ-1461,Found
MV01994,ITM0049,WH003,IN,71,2024-04-26,USER005,REF-1994,
MV02161,ITM0009,WH004,OUT,-634,2024-04-26,USER006,REF-2161,
MV02225,ITM0006,WH001,OUT,-47,2024-04-26,USER008,REF-2225,
MV02497,ITM0002,WH004,ADJUSTMENT,-341,2024-04-26,USER008,ADJ-2497,Expired
MV02698,ITM0090,WH002,ADJUSTMENT,-27,2024-04-26,USER002,ADJ-2698,Damage
MV01202,ITM0013,WH005,IN,79,2024-04-27,USER005,REF-1202,
MV01425,ITM0001,WH003,ADJUSTMENT,-92,2024-04-27,USER005,ADJ-1425,Lost
MV01603,ITM0097,WH003,IN,78,2024-04-27,USER005,REF-1603,
MV02547,ITM0080,WH004,ADJUSTMENT,-27,2024-04-27,USER004,ADJ-2547,Recount
MV02705,ITM0031,WH004,IN,54,2024-04-27,USER007,REF-2705,
MV02791,ITM0068,WH004,ADJUSTMENT,-61,2024-04-27,USER007,ADJ-2791,Recount
MV01181,ITM0076,WH002,OUT,-100,2024-04-28,USER006,REF-1181,
MV01615,ITM0019,WH004,OUT,-4,2024-04-28,USER008,REF-1615,
MV01812,ITM0099,WH002,IN,71,2024-04-28,USER006,REF-1812,
MV02142,ITM0064,WH003,IN,30,2024-04-28,USER006,REF-2142,
MV02247,ITM0080,WH002,ADJUSTMENT,-62,2024-04-28,USER002,ADJ-2247,Damage
MV00103,ITM0026,WH004,IN,11,2024-04-29,USER002,REF-103,
MV01669,ITM0028,WH002,ADJUSTMENT,-38,2024-04-29,USER006,ADJ-1669,Expired
MV01805,ITM0060,WH004,ADJUSTMENT,-88,2024-04-29,USER004,ADJ-1805,Recount
MV01826,ITM0075,WH003,IN,388,2024-04-29,USER003,REF-1826,
MV02875,ITM0079,WH005,ADJUSTMENT,-18,2024-04-29,USER002,ADJ-2875,Recount
MV00542,ITM0001,WH001,ADJUSTMENT,-59,2024-04-30,USER007,ADJ-542,Damage
MV01407,ITM0017,WH003,ADJUSTMENT,-15,2024-04-30,USER007,ADJ-1407,Damage
MV02061,ITM0052,WH003,IN,21,2024-04-30,USER002,REF-2061,
MV02535,ITM0098,WH001,ADJUSTMENT,-82,2024-04-30,USER003,ADJ-2535,Recount
MV02572,ITM0059,WH004,IN,39,2024-04-30,USER002,REF-2572,
MV00129,ITM0041,WH004,IN,17,2024-05-01,USER004,REF-129,
MV02013,ITM0072,WH001,ADJUSTMENT,-93,2024-05-01,USER001,ADJ-2013,Expired
MV02266,ITM0038,WH005,OUT,-62,2024-05-01,USER002,REF-2266,
MV02309,ITM0003,WH003,OUT,-6,2024-05-01,USER003,REF-2309,
MV00834,ITM0069,WH004,IN,53,2024-05-02,USER003,REF-834,
MV00884,ITM0075,WH005,IN,80,2024-05-02,USER003,REF-884,
MV00935,ITM0046,WH004,ADJUSTMENT,-1,2024-05-02,USER006,ADJ-935,Expired
MV01493,ITM0025,WH004,IN,51,2024-05-02,USER002,REF-1493,
MV01765,ITM0015,WH002,ADJUSTMENT,-304,2024-05-02,USER008,ADJ-1765,Found
MV02345,ITM0097,WH002,OUT,-29,2024-05-02,USER004,REF-2345,
MV02538,ITM0081,WH001,IN,424,2024-05-02,USER007,REF-2538,
MV02973,ITM0041,WH001,IN,9,2024-05-02,USER006,REF-2973,
MV00338,ITM0041,WH004,ADJUSTMENT,-7,2024-05-03,USER001,ADJ-338,Damage
MV00507,ITM0048,WH003,ADJUSTMENT,-81,2024-05-03,USER003,ADJ-507,Found
MV00564,ITM0016,WH002,IN,3,2024-05-03,USER006,REF-564,
MV00816,ITM0004,WH004,ADJUSTMENT,-91,2024-05-03,USER008,ADJ-816,Lost
MV01483,ITM0097,WH002,ADJUSTMENT,-576,2024-05-03,USER008,ADJ-1483,Damage
MV01744,ITM0081,WH001,OUT,-46,2024-05-03,USER007,REF-1744,
MV02063,ITM0094,WH004,OUT,-61,2024-05-03,USER007,REF-2063,
MV02064,ITM0075,WH004,OUT,-93,2024-05-03,USER001,REF-2064,
MV02819,ITM0033,WH001,OUT,-28,2024-05-03,USER005,REF-2819,
MV00506,ITM0070,WH005,ADJUSTMENT,-62,2024-05-04,USER003,ADJ-506,Expired
MV01216,ITM0056,WH005,OUT,-11,2024-05-04,USER007,REF-1216,
MV02182,ITM0035,WH001,OUT,-79,2024-05-04,USER007,REF-2182,
MV02189,ITM0015,WH001,OUT,-78,2024-05-04,USER001,REF-2189,
MV02997,ITM0053,WH004,ADJUSTMENT,-16,2024-05-04,USER007,ADJ-2997,Recount
MV00868,ITM0061,WH004,OUT,-74,2024-05-05,USER008,REF-868,
MV01800,ITM0073,WH004,ADJUSTMENT,-27,2024-05-05,USER003,ADJ-1800,Expired
MV01857,ITM0055,WH001,ADJUSTMENT,-60,2024-05-05,USER001,ADJ-1857,Damage
MV00231,ITM0093,WH001,OUT,-66,2024-05-06,USER007,REF-231,
MV00280,ITM0040,WH003,IN,7,2024-05-06,USER005,REF-280,
MV00287,ITM0082,WH002,ADJUSTMENT,-74,2024-05-06,USER001,ADJ-287,Found
MV00573,ITM0041,WH003,IN,37,2024-05-06,USER006,REF-573,
MV00728,ITM0050,WH005,ADJUSTMENT,-96,2024-05-06,USER003,ADJ-728,Lost
MV01042,ITM0051,WH003,ADJUSTMENT,-59,2024-05-06,USER003,ADJ-1042,Lost
MV01518,ITM0064,WH001,ADJUSTMENT,-51,2024-05-06,USER003,ADJ-1518,Found
MV01791,ITM0072,WH004,IN,56,2024-05-06,USER005,REF-1791,
MV02373,ITM0097,WH001,OUT,-69,2024-05-06,USER002,REF-2373,
MV00533,ITM0034,WH004,OUT,-24,2024-05-07,USER005,REF-533,
MV00806,ITM0030,WH005,OUT,-6,2024-05-07,USER001,REF-806,
MV00878,ITM0085,WH001,OUT,-30,2024-05-07,USER007,REF-878,
MV01850,ITM0010,WH005,ADJUSTMENT,-85,2024-05-07,USER002,ADJ-1850,Expired
MV02177,ITM0023,WH002,OUT,-36,2024-05-07,USER002,REF-2177,
MV02507,ITM0052,WH002,OUT,-612,2024-05-07,USER007,REF-2507,
MV00357,ITM0049,WH003,OUT,-71,2024-05-08,USER006,REF-357,
MV01389,ITM0015,WH004,ADJUSTMENT,-541,2024-05-08,USER005,ADJ-1389,Found
MV01397,ITM0091,WH003,IN,100,2024-05-08,USER003,REF-1397,
MV01423,ITM0085,WH004,IN,50,2024-05-08,USER004,REF-1423,
MV01624,ITM0013,WH004,OUT,-42,2024-05-08,USER005,REF-1624,
MV02076,ITM0001,WH001,OUT,-76,2024-05-08,USER001,REF-2076,
MV02359,ITM0059,WH004,OUT,-68,2024-05-08,USER005,REF-2359,
